objectid,identifier,filename,title,date,description,subject,location,type,format,medium,rights
rls001,rls001,army discharge.jpg,Army discharge record,1945-09-24,"Russell's Army discharge record (""Enlisted Record and Report of Separation, Honorable Discharge,"" ""WD AGO Form 53-55""), dated September 24, 1945. Russell enlisted in the Army on April 8, 1942 in New York, New York; and he separated from the Army on September 15, 1945 at Fort Dix in New Jersey, following the end of World War II. He was a corporal in the 857th Bombardment Squadron of the Army Air Forces, working as an airplane and engine mechanic. He received a European–African–Middle Eastern Campaign Medal and a Good Conduct Medal.",Military service,,Text,image/jpeg,Documents,https://rightsstatements.org/page/NoC-US/1.0/
rls002,rls002,army gas mask.jpg,Photograph of Russell in gas mask,1942,"Black-and-white photograph of Russell from the waist up, wearing an Army jacket and and gas mask. He is standing outside at an Army base in Texas. A handwritten note in blue ink on the top of the photo reads, ""RUSS IN GAS MASK.""",Military service,Texas,Image,image/jpeg,Photographs,
rls003,rls003,army jacket.jpeg,United States Army jacket,1942,"Color photograph (taken in 2021) of Russell's olive-green Army jacket, laid flat. A tag on the inside collar shows the jacket is size 36R. On the right-hand side, there is a mechanics badge on the breast pocket flap. On the left-hand side, above the breast pocket, are the European–African–Middle Eastern Campaign Medal and Good Conduct Medal. On the upper left arm is a blue patch for the 8th Air Force. On both sleeves are chevron-shaped corporal insignias.",Military service,,Image,image/jpeg,Clothing & dress,https://creativecommons.org/publicdomain/zero/1.0/
rls004,rls004,army letter home.jpg,Letter from Russell to Estelle during WWII,1945-05-13,"Typewritten letter from Russell, stationed with the Army in England, to Estelle Shannon (later his wife, Estelle Steinle) at home in Staten Island, New York, New York. It is dated May 13, 1945. In the letter, Russell details where he went in the United Kingdom with the U.S. Army from June 1943 until May 1945.",Military service,"Bassingbourn, England",Text,image/jpeg,Correspondence,
rls005,rls005,army on base.jpg,Photograph of Russell on Army base,1942,"Black-and-white photograph of Russell from the shoulders up, wearing a leather jacket and aviator hat with goggles on his head. The text ""1942"" and ""Russ"" are handwritten in blue ink on the top border of the photo and on the bottom border of the photo, respectively.",Military service,Texas,Image,image/jpeg,Photographs,
rls006,rls006,army uniform.jpg,Photograph of Russell wearing Army coat,1942,"Black-and-white photograph of Russell, wearing a long doublebreasted coat and garrison hat. His hands are in his coat pockets.",Military service,,Image,image/jpeg,Photographs,
rls007,rls007,baby photo.jpg,Photograph of Russell as a baby with mom and brother,1921,"Black-and-white photograph of Russell at three weeks old. He is wrapped in a blanket and held by his mother, Amelia Steinle (née Wizemann). Standing to his left is his older brother, Walter Steinle Jr., who is approximately four years old. ",Childhood & youth; Families,"Bronx, New York",Image,image/jpeg,Photographs,
rls008,rls008,baby spoon.jpeg,Baby spoon,1921,"Color photograph (taken in 2021) of Russell's silver baby spoon. There is a letter ""S"" engraved into the end of the handle. The spoon is tarnished.",Childhood & youth,,Image,image/jpeg,Spoons,https://creativecommons.org/publicdomain/zero/1.0/
rls009,rls009,birth certificate.jpg,Birth certificate copy from 1946,1946-09-17,"Russell's birth certificate. It was issued in 1946 shortly before he joined the New York City Police Department. It reads: ""Department of Health / City of New York / Bureau of Vital Records and Statistics / Certification of Birth / THIS IS TO CERTIFY that according to Birth Record No. 4089 filed in the Bronx Office of this Bureau on April 5, 1921, Russell Logan Steinle was Born in the City of New York, on April 2, 1921. In witness whereof, the seal of the Department of Health of the City of New York has been affixed hereto this 17th day of September 1946."" There are four signatures on the document.",Childhood & youth,"Bronx, New York",Text,image/jpeg,Documents,https://rightsstatements.org/page/NoC-US/1.0/
rls010,rls010,childhood with brother.jpg,Photograph of Rusell as a child with brother,1926,"Black-and-white photograph of Russell (right), age 4 or 5, with his brother Walter Steinle Jr., age 8 or 9. They are standing outside of a building with siding, wearing coats, short pants, socks, boots, and hats.",Childhood & youth; Families,"Bronx, New York",Image,image/jpeg,Photographs,
